jaar;nummer;euro_mwh;euro_kuub
2014;1;46,65 ;0,26
2015;2;44,53 ;0,24
2016;3;41,49 ;0,24
2017;4;40,35 ;0,24
2018;5;39,85 ;0,24
2019;6;41,11 ;0,23
2020;7;41,86 ;0,23
2021;8;42,92 ;0,23
2022;9;44,28 ;0,23
2023;10;45,77 ;0,23
2024;11;46,63 ;0,23
2025;12;47,51 ;0,24
2026;13;48,40 ;0,24
2027;14;49,31 ;0,24
2028;15;50,24 ;0,25
2029;16;51,18 ;0,25
2030;17;52,14 ;0,26
2031;18;53,12 ;0,26
2032;19;54,12 ;0,27
2033;20;55,14 ;0,27
2034;21;56,17 ;0,28
2035;22;57,23 ;0,28
2036;22;58,30 ;0,28
2037;22;59,40 ;0,28
2038;22;60,51 ;0,28
